2022-02-23 23:22:58 | __main__ | DEBUG | Run script
2022-02-23 23:23:07 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:07 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:08 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:08 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:08 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:08 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:09 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:09 | __mp_main__ | ERROR | Func=check_url | HTTPConnectionPool(host='s.ctx.ly', port=80): Max retries exceeded with url: /r/1113rIf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001D5192D2E30>, 'Connection to s.ctx.ly timed out. (connect timeout=2)'))
2022-02-23 23:23:09 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:09 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:09 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:09 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:10 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:11 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:12 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:13 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:14 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:14 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:14 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:14 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:15 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:15 | __mp_main__ | DEBUG | Func=check_url | Run func
2022-02-23 23:23:15 | __main__ | DEBUG | Func=add_data_to_dicts | Run func
